"compound","keggid","number","Pathway_Description"
"[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine","C16254","hsa00020","Citrate cycle (TCA cycle)"
"[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine","C16255","hsa00020","Citrate cycle (TCA cycle)"
"Pyruvate","C00022","hsa00030","Pentose phosphate pathway"
"D-Glucose","C00031","hsa00030","Pentose phosphate pathway"
"D-Ribose 5-phosphate","C00117","hsa00030","Pentose phosphate pathway"
"D-Glyceraldehyde 3-phosphate","C00118","hsa00030","Pentose phosphate pathway"
"5-Phospho-alpha-D-ribose 1-diphosphate","C00119","hsa00030","Pentose phosphate pathway"
"D-Ribose","C00121","hsa00030","Pentose phosphate pathway"
"3-Phospho-D-glycerate","C00197","hsa00030","Pentose phosphate pathway"
"D-Glucono-1,5-lactone","C00198","hsa00030","Pentose phosphate pathway"
"D-Ribulose 5-phosphate","C00199","hsa00030","Pentose phosphate pathway"
"2-Dehydro-3-deoxy-D-gluconate","C00204","hsa00030","Pentose phosphate pathway"
"beta-D-Glucose","C00221","hsa00030","Pentose phosphate pathway"
"D-Xylulose 5-phosphate","C00231","hsa00030","Pentose phosphate pathway"
"D-Gluconic acid","C00257","hsa00030","Pentose phosphate pathway"
"D-Glycerate","C00258","hsa00030","Pentose phosphate pathway"
"D-Erythrose 4-phosphate","C00279","hsa00030","Pentose phosphate pathway"
"6-Phospho-D-gluconate","C00345","hsa00030","Pentose phosphate pathway"
"D-Glyceraldehyde","C00577","hsa00030","Pentose phosphate pathway"
"alpha-D-Ribose 1-phosphate","C00620","hsa00030","Pentose phosphate pathway"
"2-Phospho-D-glycerate","C00631","hsa00030","Pentose phosphate pathway"
"alpha-D-Glucose 6-phosphate","C00668","hsa00030","Pentose phosphate pathway"
"2-Deoxy-D-ribose 1-phosphate","C00672","hsa00030","Pentose phosphate pathway"
"2-Deoxy-D-ribose 5-phosphate","C00673","hsa00030","Pentose phosphate pathway"
"D-Ribose 1,5-bisphosphate","C01151","hsa00030","Pentose phosphate pathway"
"beta-D-Glucose 6-phosphate","C01172","hsa00030","Pentose phosphate pathway"
"6-Phospho-2-dehydro-D-gluconate","C01218","hsa00030","Pentose phosphate pathway"
"D-Glucono-1,5-lactone 6-phosphate","C01236","hsa00030","Pentose phosphate pathway"
"Deoxyribose","C01801","hsa00030","Pentose phosphate pathway"
"2-Amino-2-deoxy-D-gluconate","C03752","hsa00030","Pentose phosphate pathway"
"2-Dehydro-3-deoxy-6-phospho-D-gluconate","C04442","hsa00030","Pentose phosphate pathway"
"beta-D-Fructose 6-phosphate","C05345","hsa00030","Pentose phosphate pathway"
"beta-D-Fructose 1,6-bisphosphate","C05378","hsa00030","Pentose phosphate pathway"
"Sedoheptulose 7-phosphate","C05382","hsa00030","Pentose phosphate pathway"
"D-arabino-Hex-3-ulose 6-phosphate","C06019","hsa00030","Pentose phosphate pathway"
"2-Keto-D-gluconic acid","C06473","hsa00030","Pentose phosphate pathway"
"D-Glucosaminate-6-phosphate","C20589","hsa00030","Pentose phosphate pathway"
"Pyruvate","C00022","hsa00040","Pentose and glucuronate interconversions"
"2-Oxoglutarate","C00026","hsa00040","Pentose and glucuronate interconversions"
"UDP-glucose","C00029","hsa00040","Pentose and glucuronate interconversions"
"D-Glucose 1-phosphate","C00103","hsa00040","Pentose and glucuronate interconversions"
"Glycerone phosphate","C00111","hsa00040","Pentose and glucuronate interconversions"
"Glycerol","C00116","hsa00040","Pentose and glucuronate interconversions"
"UDP-glucuronate","C00167","hsa00040","Pentose and glucuronate interconversions"
"D-Xylose","C00181","hsa00040","Pentose and glucuronate interconversions"
"D-Glucuronate","C00191","hsa00040","Pentose and glucuronate interconversions"
"D-Ribulose 5-phosphate","C00199","hsa00040","Pentose and glucuronate interconversions"
"2-Dehydro-3-deoxy-D-gluconate","C00204","hsa00040","Pentose and glucuronate interconversions"
"D-Arabinose","C00216","hsa00040","Pentose and glucuronate interconversions"
"D-Xylulose 5-phosphate","C00231","hsa00040","Pentose and glucuronate interconversions"
"L-Arabinose","C00259","hsa00040","Pentose and glucuronate interconversions"
"Glycolaldehyde","C00266","hsa00040","Pentose and glucuronate interconversions"
"D-Ribulose","C00309","hsa00040","Pentose and glucuronate interconversions"
"D-Xylulose","C00310","hsa00040","Pentose and glucuronate interconversions"
"L-Xylulose","C00312","hsa00040","Pentose and glucuronate interconversions"
"D-Galacturonate","C00333","hsa00040","Pentose and glucuronate interconversions"
"Xylitol","C00379","hsa00040","Pentose and glucuronate interconversions"
"2,5-Dioxopentanoate","C00433","hsa00040","Pentose and glucuronate interconversions"
"Pectate","C00470","hsa00040","Pentose and glucuronate interconversions"
"Ribitol","C00474","hsa00040","Pentose and glucuronate interconversions"
"D-Lyxose","C00476","hsa00040","Pentose and glucuronate interconversions"
"D-Xylonate","C00502","hsa00040","Pentose and glucuronate interconversions"
"L-Ribulose","C00508","hsa00040","Pentose and glucuronate interconversions"
"D-Mannonate","C00514","hsa00040","Pentose and glucuronate interconversions"
"L-Arabitol","C00532","hsa00040","Pentose and glucuronate interconversions"
"D-Tagaturonate","C00558","hsa00040","Pentose and glucuronate interconversions"
"3-Dehydro-L-gulonate","C00618","hsa00040","Pentose and glucuronate interconversions"
"Pectin","C00714","hsa00040","Pentose and glucuronate interconversions"
"CDP-ribitol","C00789","hsa00040","Pentose and glucuronate interconversions"
"L-Gulonate","C00800","hsa00040","Pentose and glucuronate interconversions"
"D-Altronate","C00817","hsa00040","Pentose and glucuronate interconversions"
"D-Fructuronate","C00905","hsa00040","Pentose and glucuronate interconversions"
"D-Ribitol 5-phosphate","C01068","hsa00040","Pentose and glucuronate interconversions"
"L-Ribulose 5-phosphate","C01101","hsa00040","Pentose and glucuronate interconversions"
"L-Lyxose","C01508","hsa00040","Pentose and glucuronate interconversions"
"D-Arabitol","C01904","hsa00040","Pentose and glucuronate interconversions"
"D-Xylonolactone","C02266","hsa00040","Pentose and glucuronate interconversions"
"Digalacturonate","C02273","hsa00040","Pentose and glucuronate interconversions"
"L-Glyceraldehyde","C02426","hsa00040","Pentose and glucuronate interconversions"
"D-Xylono-1,4-lactone","C02753","hsa00040","Pentose and glucuronate interconversions"
"beta-D-Glucuronoside","C03033","hsa00040","Pentose and glucuronate interconversions"
"L-Xylulose 5-phosphate","C03291","hsa00040","Pentose and glucuronate interconversions"
"2-Dehydro-3-deoxy-D-xylonate","C03826","hsa00040","Pentose and glucuronate interconversions"
"5-Dehydro-4-deoxy-D-glucuronate","C04053","hsa00040","Pentose and glucuronate interconversions"
"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate","C04349","hsa00040","Pentose and glucuronate interconversions"
"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate","C04575","hsa00040","Pentose and glucuronate interconversions"
"D-Glucuronate 1-phosphate","C05385","hsa00040","Pentose and glucuronate interconversions"
"L-Xylonate","C05411","hsa00040","Pentose and glucuronate interconversions"
"L-Lyxonate","C05412","hsa00040","Pentose and glucuronate interconversions"
"4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate","C06118","hsa00040","Pentose and glucuronate interconversions"
"L-Xylulose 1-phosphate","C06441","hsa00040","Pentose and glucuronate interconversions"
"3-Dehydro-L-gulonate 6-phosphate","C14899","hsa00040","Pentose and glucuronate interconversions"
"L-Galactonate","C15930","hsa00040","Pentose and glucuronate interconversions"
"2-Dehydro-3-deoxy-L-galactonate","C20680","hsa00040","Pentose and glucuronate interconversions"
"D-Ribulose 1-phosphate","C22337","hsa00040","Pentose and glucuronate interconversions"
"D-Fructose","C00095","hsa00051","Fructose and mannose metabolism"
"GDP-mannose","C00096","hsa00051","Fructose and mannose metabolism"
"Glycerone phosphate","C00111","hsa00051","Fructose and mannose metabolism"
"D-Glyceraldehyde 3-phosphate","C00118","hsa00051","Fructose and mannose metabolism"
"D-Mannose","C00159","hsa00051","Fructose and mannose metabolism"
"(S)-Lactate","C00186","hsa00051","Fructose and mannose metabolism"
"L-Sorbose","C00247","hsa00051","Fructose and mannose metabolism"
"alpha-D-Glucose","C00267","hsa00051","Fructose and mannose metabolism"
"D-Mannose 6-phosphate","C00275","hsa00051","Fructose and mannose metabolism"
"GDP-L-fucose","C00325","hsa00051","Fructose and mannose metabolism"
"Mannitol","C00392","hsa00051","Fructose and mannose metabolism"
"(S)-Lactaldehyde","C00424","hsa00051","Fructose and mannose metabolism"
"Mannan","C00464","hsa00051","Fructose and mannose metabolism"
"L-Rhamnose","C00507","hsa00051","Fructose and mannose metabolism"
"D-Glyceraldehyde","C00577","hsa00051","Fructose and mannose metabolism"
"D-Mannose 1-phosphate","C00636","hsa00051","Fructose and mannose metabolism"
"D-Mannitol 1-phosphate","C00644","hsa00051","Fructose and mannose metabolism"
"beta-D-Fructose 2,6-bisphosphate","C00665","hsa00051","Fructose and mannose metabolism"
"D-Sorbitol","C00794","hsa00051","Fructose and mannose metabolism"
"L-Rhamnulose","C00861","hsa00051","Fructose and mannose metabolism"
"GDP-D-mannuronate","C00976","hsa00051","Fructose and mannose metabolism"
"6-Deoxy-L-galactose","C01019","hsa00051","Fructose and mannose metabolism"
"D-Fructose 1-phosphate","C01094","hsa00051","Fructose and mannose metabolism"
"Sorbitol 6-phosphate","C01096","hsa00051","Fructose and mannose metabolism"
"L-Fuculose 1-phosphate","C01099","hsa00051","Fructose and mannose metabolism"
"L-Rhamnulose 1-phosphate","C01131","hsa00051","Fructose and mannose metabolism"
"GDP-4-dehydro-6-deoxy-D-mannose","C01222","hsa00051","Fructose and mannose metabolism"
"Fructan","C01355","hsa00051","Fructose and mannose metabolism"
"D-Allose","C01487","hsa00051","Fructose and mannose metabolism"
"L-Fuconate","C01720","hsa00051","Fructose and mannose metabolism"
"L-Fuculose","C01721","hsa00051","Fructose and mannose metabolism"
"(Alginate)n","C01768","hsa00051","Fructose and mannose metabolism"
"L-Rhamnonate","C01934","hsa00051","Fructose and mannose metabolism"
"L-Rhamnofuranose","C02431","hsa00051","Fructose and mannose metabolism"
"1,4-beta-D-Mannan","C02492","hsa00051","Fructose and mannose metabolism"
"Sorbose 1-phosphate","C02888","hsa00051","Fructose and mannose metabolism"
"D-Allose 6-phosphate","C02962","hsa00051","Fructose and mannose metabolism"
"GDP-6-deoxy-D-talose","C02977","hsa00051","Fructose and mannose metabolism"
"L-Fucose 1-phosphate","C02985","hsa00051","Fructose and mannose metabolism"
"L-Rhamnono-1,4-lactone","C02991","hsa00051","Fructose and mannose metabolism"
"GDP-6-deoxy-D-mannose","C03117","hsa00051","Fructose and mannose metabolism"
"beta-D-Fructose 2-phosphate","C03267","hsa00051","Fructose and mannose metabolism"
"2-Dehydro-3-deoxy-L-fuconate","C03827","hsa00051","Fructose and mannose metabolism"
"2-Dehydro-3-deoxy-L-rhamnonate","C03979","hsa00051","Fructose and mannose metabolism"
"(beta-D-Mannuronate)n","C05144","hsa00051","Fructose and mannose metabolism"
"beta-D-Fructose 6-phosphate","C05345","hsa00051","Fructose and mannose metabolism"
"beta-D-Fructose 1,6-bisphosphate","C05378","hsa00051","Fructose and mannose metabolism"
"Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group","C05392","hsa00051","Fructose and mannose metabolism"
"ADP-mannose","C06192","hsa00051","Fructose and mannose metabolism"
"2-(alpha-D-Mannosyl)-3-phosphoglycerate","C11516","hsa00051","Fructose and mannose metabolism"
"2-O-(alpha-D-Mannosyl)-D-glycerate","C11544","hsa00051","Fructose and mannose metabolism"
"L-Fucono-1,5-lactone","C18028","hsa00051","Fructose and mannose metabolism"
"D-Allulose 6-phosphate","C18096","hsa00051","Fructose and mannose metabolism"
"2,4-Diketo-3-deoxy-L-fuconate","C20781","hsa00051","Fructose and mannose metabolism"
"UDP-glucose","C00029","hsa00052","Galactose metabolism"
"D-Glucose","C00031","hsa00052","Galactose metabolism"
"UDP-alpha-D-galactose","C00052","hsa00052","Galactose metabolism"
"D-Fructose 6-phosphate","C00085","hsa00052","Galactose metabolism"
"Sucrose","C00089","hsa00052","Galactose metabolism"
"D-Fructose","C00095","hsa00052","Galactose metabolism"
"D-Glucose 1-phosphate","C00103","hsa00052","Galactose metabolism"
"Glycerone phosphate","C00111","hsa00052","Galactose metabolism"
"Glycerol","C00116","hsa00052","Galactose metabolism"
"D-Glyceraldehyde 3-phosphate","C00118","hsa00052","Galactose metabolism"
"D-Galactose","C00124","hsa00052","Galactose metabolism"
"myo-Inositol","C00137","hsa00052","Galactose metabolism"
"D-Mannose","C00159","hsa00052","Galactose metabolism"
"Lactose","C00243","hsa00052","Galactose metabolism"
"alpha-D-Glucose","C00267","hsa00052","Galactose metabolism"
"alpha-D-Galactose 1-phosphate","C00446","hsa00052","Galactose metabolism"
"Raffinose","C00492","hsa00052","Galactose metabolism"
"D-Glyceraldehyde","C00577","hsa00052","Galactose metabolism"
"alpha-D-Glucose 6-phosphate","C00668","hsa00052","Galactose metabolism"
"D-Sorbitol","C00794","hsa00052","Galactose metabolism"
"D-Tagatose","C00795","hsa00052","Galactose metabolism"
"D-Galactonate","C00880","hsa00052","Galactose metabolism"
"alpha-D-Galactose","C00984","hsa00052","Galactose metabolism"
"D-Tagatose 6-phosphate","C01097","hsa00052","Galactose metabolism"
"D-Galactose 6-phosphate","C01113","hsa00052","Galactose metabolism"
"N-Acetyl-D-galactosamine","C01132","hsa00052","Galactose metabolism"
"2-Dehydro-3-deoxy-D-galactonate","C01216","hsa00052","Galactose metabolism"
"alpha-D-Galactosyl-(1->3)-1D-myo-inositol","C01235","hsa00052","Galactose metabolism"
"2-Dehydro-3-deoxy-6-phospho-D-galactonate","C01286","hsa00052","Galactose metabolism"
"Stachyose","C01613","hsa00052","Galactose metabolism"
"Galactitol","C01697","hsa00052","Galactose metabolism"
"D-Galactosamine","C02262","hsa00052","Galactose metabolism"
"D-Galactono-1,5-lactone","C02669","hsa00052","Galactose metabolism"
"D-Galactono-1,4-lactone","C03383","hsa00052","Galactose metabolism"
"UDP-alpha-D-galactofuranose","C03733","hsa00052","Galactose metabolism"
"D-Tagatose 1,6-bisphosphate","C03785","hsa00052","Galactose metabolism"
"Lactose 6'-phosphate","C05396","hsa00052","Galactose metabolism"
"Melibiitol","C05399","hsa00052","Galactose metabolism"
"Epimelibiose","C05400","hsa00052","Galactose metabolism"
"3-beta-D-Galactosyl-sn-glycerol","C05401","hsa00052","Galactose metabolism"
"Melibiose","C05402","hsa00052","Galactose metabolism"
"D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose","C05404","hsa00052","Galactose metabolism"
"Galactan","C05796","hsa00052","Galactose metabolism"
"Galactitol 1-phosphate","C06311","hsa00052","Galactose metabolism"
"N-Acetyl-D-galactosamine 6-phosphate","C06376","hsa00052","Galactose metabolism"
"D-Galactosamine 6-phosphate","C06377","hsa00052","Galactose metabolism"
"Pyruvate","C00022","hsa00053","Ascorbate and aldarate metabolism"
"2-Oxoglutarate","C00026","hsa00053","Ascorbate and aldarate metabolism"
"UDP-glucose","C00029","hsa00053","Ascorbate and aldarate metabolism"
"Ascorbate","C00072","hsa00053","Ascorbate and aldarate metabolism"
"GDP-mannose","C00096","hsa00053","Ascorbate and aldarate metabolism"
"myo-Inositol","C00137","hsa00053","Ascorbate and aldarate metabolism"
"UDP-glucuronate","C00167","hsa00053","Ascorbate and aldarate metabolism"
"D-Glucuronate","C00191","hsa00053","Ascorbate and aldarate metabolism"
"D-Arabinose","C00216","hsa00053","Ascorbate and aldarate metabolism"
"D-Xylulose 5-phosphate","C00231","hsa00053","Ascorbate and aldarate metabolism"
"L-Arabinose","C00259","hsa00053","Ascorbate and aldarate metabolism"
"D-Galacturonate","C00333","hsa00053","Ascorbate and aldarate metabolism"
"2,5-Dioxopentanoate","C00433","hsa00053","Ascorbate and aldarate metabolism"
"L-Arabinonate","C00545","hsa00053","Ascorbate and aldarate metabolism"
"D-Tagaturonate","C00558","hsa00053","Ascorbate and aldarate metabolism"
"UDP-D-galacturonate","C00617","hsa00053","Ascorbate and aldarate metabolism"
"3-Dehydro-L-gulonate","C00618","hsa00053","Ascorbate and aldarate metabolism"
"D-Arabinono-1,4-lactone","C00652","hsa00053","Ascorbate and aldarate metabolism"
"5-Dehydro-4-deoxy-D-glucarate","C00679","hsa00053","Ascorbate and aldarate metabolism"
"2-Dehydro-3-deoxy-L-arabinonate","C00684","hsa00053","Ascorbate and aldarate metabolism"
"L-Gulonate","C00800","hsa00053","Ascorbate and aldarate metabolism"
"D-Glucarate","C00818","hsa00053","Ascorbate and aldarate metabolism"
"D-Arabinonate","C00878","hsa00053","Ascorbate and aldarate metabolism"
"D-Galactarate","C00879","hsa00053","Ascorbate and aldarate metabolism"
"L-Gulono-1,4-lactone","C01040","hsa00053","Ascorbate and aldarate metabolism"
"Monodehydroascorbate","C01041","hsa00053","Ascorbate and aldarate metabolism"
"L-Ribulose 5-phosphate","C01101","hsa00053","Ascorbate and aldarate metabolism"
"L-Arabinono-1,4-lactone","C01114","hsa00053","Ascorbate and aldarate metabolism"
"L-Galactono-1,4-lactone","C01115","hsa00053","Ascorbate and aldarate metabolism"
"2-Hydroxy-3-oxopropanoate","C01146","hsa00053","Ascorbate and aldarate metabolism"
"Threonate","C01620","hsa00053","Ascorbate and aldarate metabolism"
"L-Galactose","C01825","hsa00053","Ascorbate and aldarate metabolism"
"GDP-L-galactose","C02280","hsa00053","Ascorbate and aldarate metabolism"
"D-Glucuronolactone","C02670","hsa00053","Ascorbate and aldarate metabolism"
"beta-D-Glucuronoside","C03033","hsa00053","Ascorbate and aldarate metabolism"
"3-Dehydro-L-threonate","C03064","hsa00053","Ascorbate and aldarate metabolism"
"L-xylo-Hexulonolactone","C03289","hsa00053","Ascorbate and aldarate metabolism"
"L-Xylulose 5-phosphate","C03291","hsa00053","Ascorbate and aldarate metabolism"
"2-Dehydro-3-deoxy-D-xylonate","C03826","hsa00053","Ascorbate and aldarate metabolism"
"2-Dehydro-3-deoxy-D-glucarate","C03921","hsa00053","Ascorbate and aldarate metabolism"
"1-Phospho-alpha-D-galacturonate","C04037","hsa00053","Ascorbate and aldarate metabolism"
"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate","C04575","hsa00053","Ascorbate and aldarate metabolism"
"D-Glucuronate 1-phosphate","C05385","hsa00053","Ascorbate and aldarate metabolism"
"L-Xylonate","C05411","hsa00053","Ascorbate and aldarate metabolism"
"L-Lyxonate","C05412","hsa00053","Ascorbate and aldarate metabolism"
"Dehydroascorbate","C05422","hsa00053","Ascorbate and aldarate metabolism"
"Dehydro-D-arabinono-1,4-lactone","C06316","hsa00053","Ascorbate and aldarate metabolism"
"3-Dehydro-L-gulonate 6-phosphate","C14899","hsa00053","Ascorbate and aldarate metabolism"
"L-Gulose","C15923","hsa00053","Ascorbate and aldarate metabolism"
"L-Gulose 1-phosphate","C15924","hsa00053","Ascorbate and aldarate metabolism"
"GDP-L-gulose","C15925","hsa00053","Ascorbate and aldarate metabolism"
"beta-L-Galactose 1-phosphate","C15926","hsa00053","Ascorbate and aldarate metabolism"
"L-Galactonate","C15930","hsa00053","Ascorbate and aldarate metabolism"
"L-Ascorbate 6-phosphate","C16186","hsa00053","Ascorbate and aldarate metabolism"
"D-Galactaro-1,5-lactone","C20889","hsa00053","Ascorbate and aldarate metabolism"
"D-Galactaro-1,4-lactone","C20896","hsa00053","Ascorbate and aldarate metabolism"
"L-Galactono-1,5-lactone","C21955","hsa00053","Ascorbate and aldarate metabolism"
"Acetyl-CoA","C00024","hsa00061","Fatty acid biosynthesis"
"Malonyl-CoA","C00083","hsa00061","Fatty acid biosynthesis"
"Palmitoyl-CoA","C00154","hsa00061","Fatty acid biosynthesis"
"Acyl-[acyl-carrier protein]","C00173","hsa00061","Fatty acid biosynthesis"
"Acyl-carrier protein","C00229","hsa00061","Fatty acid biosynthesis"
"Hexadecanoic acid","C00249","hsa00061","Fatty acid biosynthesis"
"Malonate","C00383","hsa00061","Fatty acid biosynthesis"
"Long-chain fatty acid","C00638","hsa00061","Fatty acid biosynthesis"
"3-Oxoacyl-[acyl-carrier protein]","C00685","hsa00061","Fatty acid biosynthesis"
"trans-2,3-Dehydroacyl-[acyl-carrier protein]","C00693","hsa00061","Fatty acid biosynthesis"
"(9Z)-Octadecenoic acid","C00712","hsa00061","Fatty acid biosynthesis"
"Oleoyl-[acyl-carrier protein]","C01203","hsa00061","Fatty acid biosynthesis"
"Malonyl-[acyl-carrier protein]","C01209","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxyacyl-[acyl-carrier protein]","C01271","hsa00061","Fatty acid biosynthesis"
"Octadecanoic acid","C01530","hsa00061","Fatty acid biosynthesis"
"Decanoic acid","C01571","hsa00061","Fatty acid biosynthesis"
"Dodecanoic acid","C02679","hsa00061","Fatty acid biosynthesis"
"Long-chain acyl-CoA","C02843","hsa00061","Fatty acid biosynthesis"
"Acetyl-[acyl-carrier protein]","C03939","hsa00061","Fatty acid biosynthesis"
"Octadecanoyl-[acyl-carrier protein]","C04088","hsa00061","Fatty acid biosynthesis"
"cis-Dec-3-enoyl-[acp]","C04180","hsa00061","Fatty acid biosynthesis"
"But-2-enoyl-[acyl-carrier protein]","C04246","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]","C04618","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]","C04619","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]","C04620","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]","C04633","hsa00061","Fatty acid biosynthesis"
"(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]","C04688","hsa00061","Fatty acid biosynthesis"
"Dodecanoyl-[acyl-carrier protein]","C05223","hsa00061","Fatty acid biosynthesis"
"Acetoacetyl-[acp]","C05744","hsa00061","Fatty acid biosynthesis"
"Butyryl-[acp]","C05745","hsa00061","Fatty acid biosynthesis"
"3-Oxohexanoyl-[acp]","C05746","hsa00061","Fatty acid biosynthesis"
"(R)-3-Hydroxyhexanoyl-[acp]","C05747","hsa00061","Fatty acid biosynthesis"
"trans-Hex-2-enoyl-[acp]","C05748","hsa00061","Fatty acid biosynthesis"
"Hexanoyl-[acp]","C05749","hsa00061","Fatty acid biosynthesis"
"3-Oxooctanoyl-[acp]","C05750","hsa00061","Fatty acid biosynthesis"
"trans-Oct-2-enoyl-[acp]","C05751","hsa00061","Fatty acid biosynthesis"
"Octanoyl-[acp]","C05752","hsa00061","Fatty acid biosynthesis"
"3-Oxodecanoyl-[acp]","C05753","hsa00061","Fatty acid biosynthesis"
"trans-Dec-2-enoyl-[acp]","C05754","hsa00061","Fatty acid biosynthesis"
"Decanoyl-[acp]","C05755","hsa00061","Fatty acid biosynthesis"
"3-Oxododecanoyl-[acp]","C05756","hsa00061","Fatty acid biosynthesis"
"(R)-3-Hydroxydodecanoyl-[acp]","C05757","hsa00061","Fatty acid biosynthesis"
"trans-Dodec-2-enoyl-[acp]","C05758","hsa00061","Fatty acid biosynthesis"
"3-Oxotetradecanoyl-[acp]","C05759","hsa00061","Fatty acid biosynthesis"
"trans-Tetradec-2-enoyl-[acp]","C05760","hsa00061","Fatty acid biosynthesis"
"Tetradecanoyl-[acp]","C05761","hsa00061","Fatty acid biosynthesis"
"3-Oxohexadecanoyl-[acp]","C05762","hsa00061","Fatty acid biosynthesis"
"trans-Hexadec-2-enoyl-[acp]","C05763","hsa00061","Fatty acid biosynthesis"
